feature,auc_pd_within_sakar2019,auc_lab_discrimination
jitter_rel,0.7242,1.0
mfcc0,0.6411,1.0
mfcc1,0.5495,0.9563
rpde,0.6682,0.9435
ppe,0.5918,0.8624
mfcc9,0.5736,0.8516
mfcc8,0.5687,0.8451
mfcc10,0.5141,0.8188
gne,0.6107,0.805
mfcc12,0.5311,0.8009
mfcc7,0.5801,0.753
mfcc11,0.5447,0.719
hnr,0.666,0.6608
mfcc6,0.5742,0.6174
mfcc4,0.5854,0.6025
mfcc5,0.617,0.5973
shimmer_loc,0.6631,0.5559
mfcc2,0.7529,0.5285
mfcc3,0.6568,0.5114
